Index;Sport;Championnat;Événement;Formule pari;Prono;Prono ID;Cote;CA (PG);CA en %;Mises (PG);Mises en %;Mises single (PG);Mises single en %;% CA Single;Nb PDJ;Liability;Liability RU;Liability Single;Exposure;Payout;Mises combinés;Combinés perdants;Combinés en cours
108;;;;;30248126;;84,45;10 184;100 %;49 095;100 %;433;100 %;4 %;8 784;;;;;;48 662;33 184;15 478
108;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 H;1;122619264;1,25;9 749;96 %;48 083;98 %;235;54 %;2 %;8 465;-7 005;-9 925;128;10 201;10 357;47 848;32 745;15 103
108;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 H;N;122619263;4,3;175;2 %;512;1 %;23;5 %;13 %;208;3 952;3 462;337;1 269;825;489;237;252
108;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 H;2;122619262;6,6;260;3 %;500;1 %;175;40 %;67 %;111;2 622;555;-576;4 022;2 146;325;202;123
109;;;;;30248170;;83,27;6 467;100 %;25 705;100 %;1 042;100 %;16 %;5 064;;;;;;24 663;16 881;7 782
109;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 MT;1;122619504;1,25;5 785;89 %;23 747;92 %;879;84 %;15 %;4 369;-3 872;-4 943;-112;5 341;7 069;22 868;15 787;7 081
109;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 MT;N;122619506;3;448;7 %;1 491;6 %;36;3 %;8 %;448;1 920;1 791;931;1 950;2 042;1 455;855;600
109;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 MT;2;122619505;14,8;235;4 %;467;2 %;127;12 %;54 %;247;1 602;1 401;-621;2 443;2 378;340;239;101
453;;;;;30178105;;91,49;124 633;100 %;732 553;100 %;5 035;100 %;4 %;121 709;;;;;;727 518;492 600;234 918
453;Football;Liga Portugal;Sporting-Rio Ave;1/N/2;1;122228716;1,07;121 498;97 %;726 239;99 %;3 352;67 %;3 %;119 321;-129 494;-280 673;1 347;282 764;178 773;722 887;489 710;233 177
453;Football;Liga Portugal;Sporting-Rio Ave;1/N/2;N;122228714;8,7;1 553;1 %;3 416;0 %;662;13 %;43 %;1 291;87 267;86 874;-180;16 375;16 909;2 754;1 603;1 151
453;Football;Liga Portugal;Sporting-Rio Ave;1/N/2;2;122228715;23;1 582;1 %;2 898;0 %;1 021;20 %;65 %;1 097;82 514;81 522;-13 654;21 598;21 664;1 877;1 287;590
855;;;;;30248116;;84,96;3 920;100 %;13 283;100 %;620;100 %;16 %;3 467;;;;;;12 663;7 050;5 613
855;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 H;1;122619227;1,75;2 754;70 %;9 784;74 %;481;78 %;17 %;2 338;-545;-1 250;-209;1 756;1 632;9 303;5 587;3 716
855;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 H;N;122619225;3,75;913;23 %;2 695;20 %;98;16 %;11 %;879;-2 276;-2 520;257;3 685;3 822;2 597;1 128;1 469
855;Football;Liga Portugal;Sporting-Rio Ave;1/N/2 H;2;122619226;2,95;253;6 %;804;6 %;41;7 %;16 %;250;1 107;1 094;497;357;446;763;335;428
6177;;;;;30263470;;13,39;28 707;100 %;84 266;100 %;7 860;100 %;27 %;14 391;;;;;;76 406;42 179;34 227
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Quaresma;122708735;13;6;0 %;12;0 %;0;0 %;0 %;4;11 540;11 540;7 860;0;0;12;0;12
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Alisson de Almeida Santos;122708752;2,6;7;0 %;21;0 %;0;0 %;0 %;5;11 540;11 540;7 860;0;0;21;8;13
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Ricardo Mangas;122708757;5,35;0;0 %;0;0 %;0;0 %;0 %;0;11 540;11 540;7 860;0;0;0;0;0
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Georgios Vagiannidis;122708749;11;13;0 %;23;0 %;2;0 %;15 %;6;11 516;11 516;7 836;22;24;21;0;21
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Francisco Trincao;122708729;2,35;3 197;11 %;6 837;8 %;1 535;20 %;48 %;1 379;6 190;6 113;4 175;3 793;5 296;5 302;2 503;2 799
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Fotis Ioannidis;122708744;1,95;1 174;4 %;3 469;4 %;177;2 %;15 %;652;11 070;11 008;7 514;346;465;3 292;1 266;2 026
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Rodrigo Ribeiro;122708742;2,1;58;0 %;200;0 %;1;0 %;2 %;66;11 538;11 538;7 858;1;2;199;130;69
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Hidemasa Morita;122708741;5,35;0;0 %;1;0 %;0;0 %;0 %;1;11 540;11 540;7 860;0;0;1;0;1
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Matheus Reis;122708725;8;1;0 %;1;0 %;0;0 %;0 %;1;11 540;11 540;7 860;0;0;1;1;0
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Maximiliano Araujo;122708734;2,85;894;3 %;1 396;2 %;677;9 %;76 %;220;9 584;9 419;5 930;1 429;1 943;719;339;380
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Morten Hjulmand;122708755;3,5;43;0 %;138;0 %;0;0 %;0 %;63;11 540;11 540;7 860;0;0;138;113;25
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Luis Javier Suarez;122708743;1,6;22 665;79 %;71 084;84 %;5 015;64 %;22 %;11 775;-16 149;-20 250;-242;23 237;27 133;66 069;37 459;28 610
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Goncalo Inacio;122708763;11;11;0 %;20;0 %;1;0 %;9 %;6;11 528;11 528;7 848;11;12;19;0;19
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Joao Pedro Aranuth Barrocas Simoes;122708737;5,35;0;0 %;0;0 %;0;0 %;0 %;0;11 540;11 540;7 860;0;0;0;0;0
6177;Football;Liga Portugal;Sporting-Rio Ave;Buteur;Goncalves, Flavio;122708727;2,65;12;0 %;55;0 %;0;0 %;0 %;26;11 540;11 540;7 860;0;0;55;53;2
